##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Collagen degradation	Reactome	R-HSA-1442490	2	64	0.0140296784914	0.0427479321731	MMP7|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1442490
MAP kinase activation	Reactome	R-HSA-450294	2	64	0.0140296784914	0.0427479321731	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450294
Cellular responses to external stimuli	Reactome	R-HSA-8953897	5	516	0.0140877129289	0.0428756480444	HSP90AA1|MDM2|ATM|TP53|TFDP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
Mitophagy - animal	KEGG PATHWAY	hsa04137	2	65	0.0144359753328	0.0435864862487	SRC|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa04137/hsa:6714%09red/hsa:7157%09red
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	2	65	0.0144359753328	0.0435864862487	TNF|IL18R1	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:7124%09red/hsa:8809%09red
Costimulation by the CD28 family	Reactome	R-HSA-388841	2	65	0.0144359753328	0.0435864862487	PTPN11|LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
TP53 Regulates Transcription of DNA Repair Genes	Reactome	R-HSA-6796648	2	65	0.0144359753328	0.0435864862487	ATM|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6796648
Transport of small molecules	Reactome	R-HSA-382551	6	720	0.0145438485319	0.0438513743104	SLC6A3|SLC6A2|ASIC4|SLC5A5|SLC5A7|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-382551
Non-small cell lung cancer	KEGG PATHWAY	hsa05223	2	66	0.0148473257648	0.0438513743104	TP53|JAK3	http://www.genome.jp/kegg-bin/show_pathway?hsa05223/hsa:3718%09red/hsa:7157%09red
Activation of NF-kappaB in B cells	Reactome	R-HSA-1169091	2	66	0.0148473257648	0.0438513743104	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169091
Cytochrome P450 - arranged by substrate type	Reactome	R-HSA-211897	2	66	0.0148473257648	0.0438513743104	CYP1A2|POR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211897
Metabolism of vitamins and cofactors	Reactome	R-HSA-196854	3	186	0.0150243569247	0.0438513743104	HSP90AA1|CTRB1|RBP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196854
Post-translational protein modification	Reactome	R-HSA-597592	9	1412	0.0155291335629	0.0438513743104	TGFBR2|TGFBR1|TP53|WDTC1|MAN1B1|PPARG|ADRB2|MDM2|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
Renin secretion	KEGG PATHWAY	hsa04924	2	69	0.0161113997588	0.0438513743104	ADRB2|PDE3B	http://www.genome.jp/kegg-bin/show_pathway?hsa04924/hsa:154%09red/hsa:5140%09red
Caffeine metabolism	KEGG PATHWAY	hsa00232	1	5	0.01620522592	0.0438513743104	CYP1A2	http://www.genome.jp/kegg-bin/show_pathway?hsa00232/hsa:1544%09red
FasL/ CD95L signaling	Reactome	R-HSA-75157	1	5	0.01620522592	0.0438513743104	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75157
NGF-independant TRKA activation	Reactome	R-HSA-187024	1	5	0.01620522592	0.0438513743104	ADORA2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187024
Abacavir metabolism	Reactome	R-HSA-2161541	1	5	0.01620522592	0.0438513743104	ADH1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2161541
Fructose catabolism	Reactome	R-HSA-70350	1	5	0.01620522592	0.0438513743104	ALDH1A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70350
Huntington disease	KEGG PATHWAY	hsa05016	3	193	0.0165398031375	0.0444929144699	PPARG|TP53|CASP8	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:5468%09red/hsa:841%09red/hsa:7157%09red
Signaling by Insulin receptor	Reactome	R-HSA-74752	2	70	0.0165426663198	0.0444929144699	PTPN11|PDE3B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74752
Drug metabolism - cytochrome P450	KEGG PATHWAY	hsa00982	2	72	0.0174198853593	0.0460335738638	CYP1A2|ADH1A	http://www.genome.jp/kegg-bin/show_pathway?hsa00982/hsa:1544%09red/hsa:124%09red
Interleukin-17 signaling	Reactome	R-HSA-448424	2	72	0.0174198853593	0.0460335738638	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448424
Focal adhesion	KEGG PATHWAY	hsa04510	3	199	0.0179046262344	0.0460335738638	SRC|PTK2|KDR	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:6714%09red/hsa:3791%09red/hsa:5747%09red
Thyroid hormone synthesis	KEGG PATHWAY	hsa04918	2	74	0.0183164906497	0.0460335738638	GSR|SLC5A5	http://www.genome.jp/kegg-bin/show_pathway?hsa04918/hsa:2936%09red/hsa:6528%09red
Bacterial invasion of epithelial cells	KEGG PATHWAY	hsa05100	2	74	0.0183164906497	0.0460335738638	SRC|PTK2	http://www.genome.jp/kegg-bin/show_pathway?hsa05100/hsa:6714%09red/hsa:5747%09red
Glioma	KEGG PATHWAY	hsa05214	2	75	0.018771990475	0.0460335738638	MDM2|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:7157%09red/hsa:4193%09red
Activation of TRKA receptors	Reactome	R-HSA-187015	1	6	0.0188806876261	0.0460335738638	ADORA2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187015
Biosynthesis of maresin-like SPMs	Reactome	R-HSA-9027307	1	6	0.0188806876261	0.0460335738638	CYP1A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027307
Scavenging by Class F Receptors	Reactome	R-HSA-3000484	1	6	0.0188806876261	0.0460335738638	HSP90AA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000484
Classical antibody-mediated complement activation	Reactome	R-HSA-173623	1	6	0.0188806876261	0.0460335738638	CRP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-173623
Activated NTRK3 signals through PI3K	Reactome	R-HSA-9603381	1	6	0.0188806876261	0.0460335738638	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9603381
Vasopressin-like receptors	Reactome	R-HSA-388479	1	6	0.0188806876261	0.0460335738638	OXT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388479
Estrogen biosynthesis	Reactome	R-HSA-193144	1	6	0.0188806876261	0.0460335738638	HSD17B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193144
CLEC7A/inflammasome pathway	Reactome	R-HSA-5660668	1	6	0.0188806876261	0.0460335738638	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5660668
TLR3-mediated TICAM1-dependent programmed cell death	Reactome	R-HSA-9013957	1	6	0.0188806876261	0.0460335738638	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013957
STAT5 Activation	Reactome	R-HSA-9645135	1	6	0.0188806876261	0.0460335738638	PTPN11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9645135
Uptake and function of diphtheria toxin	Reactome	R-HSA-5336415	1	6	0.0188806876261	0.0460335738638	HSP90AA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5336415
Activated NTRK2 signals through FYN	Reactome	R-HSA-9032500	1	6	0.0188806876261	0.0460335738638	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9032500
Sensing of DNA Double Strand Breaks	Reactome	R-HSA-5693548	1	6	0.0188806876261	0.0460335738638	ATM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693548
TNFR1-mediated ceramide production	Reactome	R-HSA-5626978	1	6	0.0188806876261	0.0460335738638	TNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5626978
Metabolism of xenobiotics by cytochrome P450	KEGG PATHWAY	hsa00980	2	76	0.0192322499057	0.046719438127	CYP1A2|ADH1A	http://www.genome.jp/kegg-bin/show_pathway?hsa00980/hsa:1544%09red/hsa:124%09red
The role of GTSE1 in G2/M progression after G2 checkpoint	Reactome	R-HSA-8852276	2	76	0.0192322499057	0.046719438127	HSP90AA1|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852276
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	Reactome	R-HSA-5693565	2	76	0.0192322499057	0.046719438127	ATM|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693565
Infectious disease	Reactome	R-HSA-5663205	4	372	0.0196159706446	0.0475647054829	SRC|HSP90AA1|LCK|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663205
Antigen processing and presentation	KEGG PATHWAY	hsa04612	2	77	0.0196972402042	0.0476315081302	HSP90AA1|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04612/hsa:7124%09red/hsa:3320%09red
DNA Double Strand Break Response	Reactome	R-HSA-5693606	2	77	0.0196972402042	0.0476315081302	ATM|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693606
Synaptic vesicle cycle	KEGG PATHWAY	hsa04721	2	78	0.0201669327518	0.0487230164576	SLC6A3|SLC6A2	http://www.genome.jp/kegg-bin/show_pathway?hsa04721/hsa:6530%09red/hsa:6531%09red
Drug metabolism - other enzymes	KEGG PATHWAY	hsa00983	2	79	0.0206412990476	0.0488660535604	RRM2B|IMPDH1	http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:3614%09red/hsa:50484%09red
Complement and coagulation cascades	KEGG PATHWAY	hsa04610	2	79	0.0206412990476	0.0488660535604	F13A1|PLAT	http://www.genome.jp/kegg-bin/show_pathway?hsa04610/hsa:2162%09red/hsa:5327%09red
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	2	79	0.0206412990476	0.0488660535604	SRC|KDR	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:6714%09red/hsa:3791%09red
DNA Damage/Telomere Stress Induced Senescence	Reactome	R-HSA-2559586	2	80	0.0211203107086	0.0488660535604	ATM|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559586
RUNX3 regulates CDKN1A transcription	Reactome	R-HSA-8941855	1	7	0.0215489411444	0.0488660535604	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941855
Fructose metabolism	Reactome	R-HSA-5652084	1	7	0.0215489411444	0.0488660535604	ALDH1A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5652084
Nef and signal transduction	Reactome	R-HSA-164944	1	7	0.0215489411444	0.0488660535604	LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-164944
B cell receptor signaling pathway	KEGG PATHWAY	hsa04662	2	82	0.0220921571792	0.0497587960175	IKBKB|CHUK	http://www.genome.jp/kegg-bin/show_pathway?hsa04662/hsa:3551%09red/hsa:1147%09red
Chemical carcinogenesis	KEGG PATHWAY	hsa05204	2	82	0.0220921571792	0.0497587960175	CYP1A2|ADH1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05204/hsa:1544%09red/hsa:124%09red
ER-Phagosome pathway	Reactome	R-HSA-1236974	2	82	0.0220921571792	0.0497587960175	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236974
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	2	82	0.0220921571792	0.0497587960175	RRM2B|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897
Peroxisome	KEGG PATHWAY	hsa04146	2	83	0.0225849358072	0.0507398051073	HAO1|EPHX2	http://www.genome.jp/kegg-bin/show_pathway?hsa04146/hsa:2053%09red/hsa:54363%09red
Fcgamma receptor (FCGR) dependent phagocytosis	Reactome	R-HSA-2029480	2	83	0.0225849358072	0.0507398051073	HSP90AA1|PTK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029480
ErbB signaling pathway	KEGG PATHWAY	hsa04012	2	85	0.0235840642648	0.0510290136251	SRC|PTK2	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:6714%09red/hsa:5747%09red
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	2	85	0.0235840642648	0.0510290136251	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	2	85	0.0235840642648	0.0510290136251	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	2	85	0.0235840642648	0.0510290136251	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
Cellular response to heat stress	Reactome	R-HSA-3371556	2	86	0.0240903586074	0.0510290136251	HSP90AA1|ATM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371556
Histidine catabolism	Reactome	R-HSA-70921	1	8	0.0242100057123	0.0510290136251	HDC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70921
TRAIL  signaling	Reactome	R-HSA-75158	1	8	0.0242100057123	0.0510290136251	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75158
Interleukin-18 signaling	Reactome	R-HSA-9012546	1	8	0.0242100057123	0.0510290136251	IL18R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9012546
Interleukin-1 processing	Reactome	R-HSA-448706	1	8	0.0242100057123	0.0510290136251	CTSG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448706
Downregulation of ERBB4 signaling	Reactome	R-HSA-1253288	1	8	0.0242100057123	0.0510290136251	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1253288
RNF mutants show enhanced WNT signaling and proliferation	Reactome	R-HSA-5340588	1	8	0.0242100057123	0.0510290136251	WNT3A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5340588
VEGF ligand-receptor interactions	Reactome	R-HSA-194313	1	8	0.0242100057123	0.0510290136251	KDR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194313
Signaling by activated point mutants of FGFR1	Reactome	R-HSA-1839122	1	8	0.0242100057123	0.0510290136251	FGFR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839122
VEGF binds to VEGFR leading to receptor dimerization	Reactome	R-HSA-195399	1	8	0.0242100057123	0.0510290136251	KDR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195399
MAPK1 (ERK2) activation	Reactome	R-HSA-112411	1	8	0.0242100057123	0.0510290136251	PTPN11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112411
GABAergic synapse	KEGG PATHWAY	hsa04727	2	89	0.0256358315789	0.0537278010332	SRC|ABAT	http://www.genome.jp/kegg-bin/show_pathway?hsa04727/hsa:6714%09red/hsa:18%09red
Longevity regulating pathway	KEGG PATHWAY	hsa04211	2	89	0.0256358315789	0.0537278010332	PPARG|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:5468%09red/hsa:7157%09red
Protein digestion and absorption	KEGG PATHWAY	hsa04974	2	90	0.0261597614074	0.0537278010332	CTRB1|DPP4	http://www.genome.jp/kegg-bin/show_pathway?hsa04974/hsa:1504%09red/hsa:1803%09red
Interferon gamma signaling	Reactome	R-HSA-877300	2	90	0.0261597614074	0.0537278010332	PTPN11|TRIM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
Signaling by NOTCH	Reactome	R-HSA-157118	3	231	0.0262168436119	0.0537278010332	TP53|TFDP2|FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-157118
Morphine addiction	KEGG PATHWAY	hsa05032	2	91	0.0266880320334	0.0537278010332	PDE4D|PDE3B	http://www.genome.jp/kegg-bin/show_pathway?hsa05032/hsa:5144%09red/hsa:5140%09red
EPH-Ephrin signaling	Reactome	R-HSA-2682334	2	91	0.0266880320334	0.0537278010332	PTK2|EPHA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2682334
Nef Mediated CD4 Down-regulation	Reactome	R-HSA-167590	1	9	0.0268639005166	0.0537278010332	LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167590
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)	Reactome	R-HSA-2142816	1	9	0.0268639005166	0.0537278010332	CYP1A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142816
InlA-mediated entry of Listeria monocytogenes into host cells	Reactome	R-HSA-8876493	1	9	0.0268639005166	0.0537278010332	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876493
Uptake and function of anthrax toxins	Reactome	R-HSA-5210891	1	9	0.0268639005166	0.0537278010332	FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5210891
Regulation of commissural axon pathfinding by SLIT and ROBO	Reactome	R-HSA-428542	1	9	0.0268639005166	0.0537278010332	SRC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-428542
Adrenoceptors	Reactome	R-HSA-390696	1	9	0.0268639005166	0.0537278010332	ADRB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390696
Signaling by Leptin	Reactome	R-HSA-2586552	1	9	0.0268639005166	0.0537278010332	PTPN11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2586552
PI5P Regulates TP53 Acetylation	Reactome	R-HSA-6811555	1	9	0.0268639005166	0.0537278010332	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811555
Metabolism of ingested SeMet, Sec, MeSec into H2Se	Reactome	R-HSA-2408508	1	9	0.0268639005166	0.0537278010332	CBS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2408508
Prostanoid ligand receptors	Reactome	R-HSA-391908	1	9	0.0268639005166	0.0537278010332	PTGER3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391908
Interleukin-9 signaling	Reactome	R-HSA-8985947	1	9	0.0268639005166	0.0537278010332	JAK3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8985947
MAPK3 (ERK1) activation	Reactome	R-HSA-110056	1	9	0.0268639005166	0.0537278010332	PTPN11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110056
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	Reactome	R-HSA-975138	2	92	0.0272206164535	0.054400330403	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975138
Toll Like Receptor 7/8 (TLR7/8) Cascade	Reactome	R-HSA-168181	2	93	0.0277574877767	0.0552656568009	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168181
Pre-NOTCH Transcription and Translation	Reactome	R-HSA-1912408	2	93	0.0277574877767	0.0552656568009	TP53|TFDP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912408
MyD88 dependent cascade initiated on endosome	Reactome	R-HSA-975155	2	93	0.0277574877767	0.0552656568009	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975155
G2/M DNA damage checkpoint	Reactome	R-HSA-69473	2	95	0.0288439841264	0.0563519848409	ATM|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69473
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	Reactome	R-HSA-166058	2	95	0.0288439841264	0.0563519848409	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166058
Toll Like Receptor TLR6:TLR2 Cascade	Reactome	R-HSA-168188	2	95	0.0288439841264	0.0563519848409	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168188
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	Reactome	R-HSA-8936459	2	96	0.0293935559287	0.0563519848409	PRKCQ|GP1BA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8936459
Regulation by c-FLIP	Reactome	R-HSA-3371378	1	10	0.029510644693	0.0563519848409	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371378
Interleukin-21 signaling	Reactome	R-HSA-9020958	1	10	0.029510644693	0.0563519848409	JAK3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020958
TRIF-mediated programmed cell death	Reactome	R-HSA-2562578	1	10	0.029510644693	0.0563519848409	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2562578
Abacavir transport and metabolism	Reactome	R-HSA-2161522	1	10	0.029510644693	0.0563519848409	ADH1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2161522
Activated NTRK2 signals through FRS2 and FRS3	Reactome	R-HSA-9028731	1	10	0.029510644693	0.0563519848409	PTPN11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9028731
Acetylcholine regulates insulin secretion	Reactome	R-HSA-399997	1	10	0.029510644693	0.0563519848409	CHRM3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-399997
Removal of aminoterminal propeptides from gamma-carboxylated proteins	Reactome	R-HSA-159782	1	10	0.029510644693	0.0563519848409	FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159782
Dimerization of procaspase-8	Reactome	R-HSA-69416	1	10	0.029510644693	0.0563519848409	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69416
Organic anion transporters	Reactome	R-HSA-428643	1	10	0.029510644693	0.0563519848409	SLC5A5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-428643
CASP8 activity is inhibited	Reactome	R-HSA-5218900	1	10	0.029510644693	0.0563519848409	CASP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218900
Calcitonin-like ligand receptors	Reactome	R-HSA-419812	1	10	0.029510644693	0.0563519848409	CALCRL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-419812
Toll Like Receptor 9 (TLR9) Cascade	Reactome	R-HSA-168138	2	97	0.0299473081844	0.0571038277926	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168138
Pancreatic secretion	KEGG PATHWAY	hsa04972	2	98	0.0305052145581	0.058001337187	CTRB1|CHRM3	http://www.genome.jp/kegg-bin/show_pathway?hsa04972/hsa:1504%09red/hsa:1131%09red
Toll Like Receptor 2 (TLR2) Cascade	Reactome	R-HSA-181438	2	98	0.0305052145581	0.058001337187	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-181438
Toll Like Receptor TLR1:TLR2 Cascade	Reactome	R-HSA-168179	2	98	0.0305052145581	0.058001337187	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168179
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	2	98	0.0305052145581	0.058001337187	IKBKB|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975
Progesterone-mediated oocyte maturation	KEGG PATHWAY	hsa04914	2	99	0.0310672488241	0.0589856401657	HSP90AA1|PDE3B	http://www.genome.jp/kegg-bin/show_pathway?hsa04914/hsa:3320%09red/hsa:5140%09red
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	2	100	0.0316333848663	0.0590362282307	TNF|IL18R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:7124%09red/hsa:8809%09red
TNFR2 non-canonical NF-kB pathway	Reactome	R-HSA-5668541	2	100	0.0316333848663	0.0590362282307	TNF|CHUK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668541
Taurine and hypotaurine metabolism	KEGG PATHWAY	hsa00430	1	11	0.0321502573269	0.0590362282307	GGT5	http://www.genome.jp/kegg-bin/show_pathway?hsa00430/hsa:2687%09red
Digestion of dietary carbohydrate	Reactome	R-HSA-189085	1	11	0.0321502573269	0.0590362282307	AMY1C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-189085
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	Reactome	R-HSA-159854	1	11	0.0321502573269	0.0590362282307	FURIN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159854
Interleukin-6 signaling	Reactome	R-HSA-1059683	1	11	0.0321502573269	0.0590362282307	PTPN11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1059683
CD28 dependent Vav1 pathway	Reactome	R-HSA-389359	1	11	0.0321502573269	0.0590362282307	LCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389359
Calcineurin activates NFAT	Reactome	R-HSA-2025928	1	11	0.0321502573269	0.0590362282307	FKBP1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2025928
GP1b-IX-V activation signalling	Reactome	R-HSA-430116	1	11	0.0321502573269	0.0590362282307	GP1BA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-430116
Melanogenesis	KEGG PATHWAY	hsa04916	2	101	0.0322035966777	0.0590362282307	WNT3A|KIT	http://www.genome.jp/kegg-bin/show_pathway?hsa04916/hsa:3815%09red/hsa:89780%09red
UCH proteinases	Reactome	R-HSA-5689603	2	101	0.0322035966777	0.0590362282307	TGFBR2|TGFBR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689603
Cargo recognition for clathrin-mediated endocytosis	Reactome	R-HSA-8856825	2	105	0.0345246852745	0.0618050332835	ADRB2|CHRM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856825
