##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
O-glycosylation of TSR domain-containing proteins	Reactome	R-HSA-5173214	2	38	0.0098321603998	0.028135466156	SBSPON|THBS1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5173214
Signaling by FGFR2 in disease	Reactome	R-HSA-5655253	2	39	0.0103112879579	0.0294713570002	FGF4|FGFR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655253
@@Signaling by FGFR2	Reactome	R-HSA-5654738	1	66	0.221751907506	0.2461856825	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654738
MAP2K and MAPK activation	Reactome	R-HSA-5674135	2	40	0.0108005840396	0.0307598581081	ITGA2B|FN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674135
Signaling by SCF-KIT	Reactome	R-HSA-1433557	2	40	0.0108005840396	0.0307598581081	LYN|MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433557
Neurotrophin signaling pathway	KEGG PATHWAY	hsa04722	3	119	0.0108783505967	0.030944584497	BDNF|CCK|NTRK2	http://www.genome.jp/kegg-bin/show_pathway?hsa04722/hsa:4915%09red/hsa:8767%09red/hsa:627%09red
Bladder cancer	KEGG PATHWAY	hsa05219	2	41	0.0112999671526	0.0319543882453	THBS1|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:4318%09red/hsa:7057%09red
Fat digestion and absorption	KEGG PATHWAY	hsa04975	2	41	0.0112999671526	0.0319543882453	CD36|FABP1	http://www.genome.jp/kegg-bin/show_pathway?hsa04975/hsa:2168%09red/hsa:948%09red
EPHB-mediated forward signaling	Reactome	R-HSA-3928662	2	41	0.0112999671526	0.0319543882453	EPHB2|LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3928662
TNF signaling	Reactome	R-HSA-75893	2	42	0.011809356264	0.0330056367379	TNFRSF1A|FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75893
Signaling by FGFR1	Reactome	R-HSA-5654736	2	42	0.011809356264	0.0330056367379	FGFRL1|FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654736
@@Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	1	32	0.116116979246	0.142356092143	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655302
Type I diabetes mellitus	KEGG PATHWAY	hsa04940	2	43	0.0123286707979	0.0343369948588	IL1B|IL12A	http://www.genome.jp/kegg-bin/show_pathway?hsa04940/hsa:3553%09red/hsa:3592%09red
Relaxin signaling pathway	KEGG PATHWAY	hsa04926	3	130	0.0137118195282	0.0378376792045	FIGF|MMP13|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa04926/hsa:2277%09red/hsa:4318%09red/hsa:4322%09red
Endocytosis	KEGG PATHWAY	hsa04144	4	244	0.0142140448345	0.0390438482395	PDGFRA|FGFR2|IL2RB|IL2RG	http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:3560%09red/hsa:3561%09red/hsa:5156%09red/hsa:2263%09red
Signaling by ERBB2	Reactome	R-HSA-1227986	2	47	0.0145035875147	0.0396574719046	NRG1|BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1227986
Signaling by moderate kinase activity BRAF mutants	Reactome	R-HSA-6802946	2	47	0.0145035875147	0.0396574719046	ITGA2B|FN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802946
Paradoxical activation of RAF signaling by kinase inactive BRAF	Reactome	R-HSA-6802955	2	47	0.0145035875147	0.0396574719046	ITGA2B|FN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802955
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	3	133	0.0145505302572	0.0397405143016	C3|CD40|C5	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:718%09red/hsa:727%09red/hsa:958%09red
Intestinal immune network for IgA production	KEGG PATHWAY	hsa04672	2	49	0.0156485366568	0.0425455679171	TNFRSF17|CD40	http://www.genome.jp/kegg-bin/show_pathway?hsa04672/hsa:608%09red/hsa:958%09red
Cholesterol metabolism	KEGG PATHWAY	hsa04979	2	50	0.0162351109511	0.043891540091	LRP1|CD36	http://www.genome.jp/kegg-bin/show_pathway?hsa04979/hsa:948%09red/hsa:4035%09red
Death Receptor Signalling	Reactome	R-HSA-73887	3	140	0.0166185452849	0.0447767096553	TNFRSF1A|CCK|FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73887
Amyotrophic lateral sclerosis (ALS)	KEGG PATHWAY	hsa05014	2	51	0.016830982249	0.0452474164048	TNFRSF1B|TNFRSF1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05014/hsa:7133%09red/hsa:7132%09red
Signaling by PTK6	Reactome	R-HSA-8848021	2	52	0.0174360739886	0.0467692454413	NRG1|BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8848021
Signaling by Non-Receptor Tyrosine Kinases	Reactome	R-HSA-9006927	2	52	0.0174360739886	0.0467692454413	NRG1|BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006927
Autoimmune thyroid disease	KEGG PATHWAY	hsa05320	2	53	0.018050310043	0.0482548979745	CTLA4|CD40	http://www.genome.jp/kegg-bin/show_pathway?hsa05320/hsa:1493%09red/hsa:958%09red
Metabolism of steroids	Reactome	R-HSA-8957322	3	147	0.0188428903201	0.0502616807426	DBP|AR|HSD11B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8957322
Signaling by FGFR in disease	Reactome	R-HSA-1226099	2	57	0.0205971899817	0.0529336094935	FGF4|FGFR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1226099
@@Signaling by FGFR	Reactome	R-HSA-190236	2	77	0.0353447688099	0.0658271577616	FGFRL1|FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190236
Interleukin-12 family signaling	Reactome	R-HSA-447115	2	57	0.0205971899817	0.0529336094935	IL12A|IL6ST	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-447115
Iron uptake and transport	Reactome	R-HSA-917937	2	58	0.0212560207869	0.0529336094935	CAND1|LCN2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-917937
FasL/ CD95L signaling	Reactome	R-HSA-75157	1	5	0.0221844360054	0.0529336094935	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75157
CD22 mediated BCR regulation	Reactome	R-HSA-5690714	1	5	0.0221844360054	0.0529336094935	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5690714
NGF-independant TRKA activation	Reactome	R-HSA-187024	1	5	0.0221844360054	0.0529336094935	NTRK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187024
Alternative complement activation	Reactome	R-HSA-173736	1	5	0.0221844360054	0.0529336094935	C3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-173736
Scavenging by Class B Receptors	Reactome	R-HSA-3000471	1	5	0.0221844360054	0.0529336094935	CD36	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000471
Signaling by RAS mutants	Reactome	R-HSA-6802949	2	60	0.0225996989713	0.0536044294098	ITGA2B|FN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802949
Necroptosis	KEGG PATHWAY	hsa04217	3	162	0.0241387137738	0.0559115354842	IL1B|TNFRSF1A|FADD	http://www.genome.jp/kegg-bin/show_pathway?hsa04217/hsa:3553%09red/hsa:8772%09red/hsa:7132%09red
Activation of TRKA receptors	Reactome	R-HSA-187015	1	6	0.0258340205657	0.0559115354842	NTRK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187015
Interleukin-36 pathway	Reactome	R-HSA-9014826	1	6	0.0258340205657	0.0559115354842	IL1RL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9014826
Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling	Reactome	R-HSA-5339717	1	6	0.0258340205657	0.0559115354842	DKK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5339717
CLEC7A/inflammasome pathway	Reactome	R-HSA-5660668	1	6	0.0258340205657	0.0559115354842	IL1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5660668
TLR3-mediated TICAM1-dependent programmed cell death	Reactome	R-HSA-9013957	1	6	0.0258340205657	0.0559115354842	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013957
TNFR1-mediated ceramide production	Reactome	R-HSA-5626978	1	6	0.0258340205657	0.0559115354842	TNFRSF1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5626978
Costimulation by the CD28 family	Reactome	R-HSA-388841	2	65	0.026107273707	0.0563503531498	CTLA4|LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
Signaling by BRAF and RAF fusions	Reactome	R-HSA-6802952	2	67	0.027568154175	0.0592365815137	ITGA2B|FN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802952
Diseases associated with O-glycosylation of proteins	Reactome	R-HSA-3906995	2	68	0.0283107091176	0.0592365815137	SBSPON|THBS1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3906995
RUNX2 regulates genes involved in cell migration	Reactome	R-HSA-8941332	1	7	0.0294700757906	0.0592365815137	MMP13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941332
Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)	Reactome	R-HSA-5688890	1	7	0.0294700757906	0.0592365815137	CSF2RA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5688890
Fructose metabolism	Reactome	R-HSA-5652084	1	7	0.0294700757906	0.0592365815137	AR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5652084
Neurofascin interactions	Reactome	R-HSA-447043	1	7	0.0294700757906	0.0592365815137	F3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-447043
MECP2 regulates transcription of neuronal ligands	Reactome	R-HSA-9022702	1	7	0.0294700757906	0.0592365815137	BDNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9022702
Erythropoietin activates Phospholipase C gamma (PLCG)	Reactome	R-HSA-9027277	1	7	0.0294700757906	0.0592365815137	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027277
Erythropoietin activates STAT5	Reactome	R-HSA-9027283	1	7	0.0294700757906	0.0592365815137	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027283
Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)	Reactome	R-HSA-5688849	1	7	0.0294700757906	0.0592365815137	CSF2RA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5688849
Epithelial cell signaling in Helicobacter pylori infection	KEGG PATHWAY	hsa05120	2	70	0.0298197011656	0.0596891848039	LYN|CCL5	http://www.genome.jp/kegg-bin/show_pathway?hsa05120/hsa:4067%09red/hsa:6352%09red
p53 signaling pathway	KEGG PATHWAY	hsa04115	2	72	0.0313600777482	0.0624851797468	ADGRB1|THBS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:575%09red/hsa:7057%09red
Inhibition of Signaling by Overexpressed EGFR	Reactome	R-HSA-5638303	1	8	0.0330926514922	0.0624851797468	BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5638303
Orexin and neuropeptides FF and QRFP bind to their respective receptors	Reactome	R-HSA-389397	1	8	0.0330926514922	0.0624851797468	HCRTR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389397
Signaling by Overexpressed Wild-Type EGFR in Cancer	Reactome	R-HSA-5638302	1	8	0.0330926514922	0.0624851797468	BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5638302
Interleukin-1 processing	Reactome	R-HSA-448706	1	8	0.0330926514922	0.0624851797468	IL1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448706
EGFR Transactivation by Gastrin	Reactome	R-HSA-2179392	1	8	0.0330926514922	0.0624851797468	MMP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2179392
VEGF ligand-receptor interactions	Reactome	R-HSA-194313	1	8	0.0330926514922	0.0624851797468	FIGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194313
FGFR1c ligand binding and activation	Reactome	R-HSA-190373	1	8	0.0330926514922	0.0624851797468	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190373
Signaling by activated point mutants of FGFR1	Reactome	R-HSA-1839122	1	8	0.0330926514922	0.0624851797468	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839122
TRAIL  signaling	Reactome	R-HSA-75158	1	8	0.0330926514922	0.0624851797468	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75158
VEGF binds to VEGFR leading to receptor dimerization	Reactome	R-HSA-195399	1	8	0.0330926514922	0.0624851797468	FIGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195399
Terminal pathway of complement	Reactome	R-HSA-166665	1	8	0.0330926514922	0.0624851797468	C5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166665
MAPK1 (ERK2) activation	Reactome	R-HSA-112411	1	8	0.0330926514922	0.0624851797468	IL6R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112411
PPAR signaling pathway	KEGG PATHWAY	hsa03320	2	76	0.0345328128668	0.0649487727486	CD36|FABP1	http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:2168%09red/hsa:948%09red
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG PATHWAY	hsa05412	2	77	0.0353447688099	0.0658271577616	ITGA2B|ITGAV	http://www.genome.jp/kegg-bin/show_pathway?hsa05412/hsa:3674%09red/hsa:3685%09red
DDX58/IFIH1-mediated induction of interferon-alpha/beta	Reactome	R-HSA-168928	2	78	0.0361641011974	0.0658271577616	FADD|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168928
Diseases associated with surfactant metabolism	Reactome	R-HSA-5687613	1	9	0.0367017973008	0.0658271577616	CSF2RA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5687613
FGFR2c ligand binding and activation	Reactome	R-HSA-190375	1	9	0.0367017973008	0.0658271577616	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190375
FGFR3 mutant receptor activation	Reactome	R-HSA-2033514	1	9	0.0367017973008	0.0658271577616	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2033514
Signaling by activated point mutants of FGFR3	Reactome	R-HSA-1839130	1	9	0.0367017973008	0.0658271577616	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839130
FGFR3c ligand binding and activation	Reactome	R-HSA-190372	1	9	0.0367017973008	0.0658271577616	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190372
Signaling by Leptin	Reactome	R-HSA-2586552	1	9	0.0367017973008	0.0658271577616	LEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2586552
EGFR interacts with phospholipase C-gamma	Reactome	R-HSA-212718	1	9	0.0367017973008	0.0658271577616	BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212718
Phospholipase C-mediated cascade; FGFR3	Reactome	R-HSA-5654227	1	9	0.0367017973008	0.0658271577616	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654227
Glucocorticoid biosynthesis	Reactome	R-HSA-194002	1	9	0.0367017973008	0.0658271577616	HSD11B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194002
MAPK3 (ERK1) activation	Reactome	R-HSA-110056	1	9	0.0367017973008	0.0658271577616	IL6R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-110056
FGFR3 ligand binding and activation	Reactome	R-HSA-190239	1	9	0.0367017973008	0.0658271577616	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190239
Generic Transcription Pathway	Reactome	R-HSA-212436	9	1193	0.0368330346735	0.0660131667765	CTLA4|MMP13|ITGA2B|TEC|AGRP|THBS1|PF4|BDNF|TNFRSF18	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
Calcium signaling pathway	KEGG PATHWAY	hsa04020	3	193	0.0373653224292	0.066917134567	PDGFRB|PDGFRA|TNNC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:7125%09red/hsa:5159%09red/hsa:5156%09red
Regulation by c-FLIP	Reactome	R-HSA-3371378	1	10	0.0402975626647	0.0691227147853	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371378
TRIF-mediated programmed cell death	Reactome	R-HSA-2562578	1	10	0.0402975626647	0.0691227147853	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2562578
Alpha-defensins	Reactome	R-HSA-1462054	1	10	0.0402975626647	0.0691227147853	DEFA3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1462054
MyD88 deficiency (TLR2/4)	Reactome	R-HSA-5602498	1	10	0.0402975626647	0.0691227147853	CD36	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602498
Dimerization of procaspase-8	Reactome	R-HSA-69416	1	10	0.0402975626647	0.0691227147853	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69416
FCGR activation	Reactome	R-HSA-2029481	1	10	0.0402975626647	0.0691227147853	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029481
CASP8 activity is inhibited	Reactome	R-HSA-5218900	1	10	0.0402975626647	0.0691227147853	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218900
Transcriptional regulation of white adipocyte differentiation	Reactome	R-HSA-381340	2	83	0.0403691291998	0.0691465513009	LEP|CD36	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381340
Oncogenic MAPK signaling	Reactome	R-HSA-6802957	2	83	0.0403691291998	0.0691465513009	ITGA2B|FN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802957
Vesicle-mediated transport	Reactome	R-HSA-5653656	6	669	0.0415340363653	0.0709897499672	IL7R|LRP1|SCARA5|CD36|SPARC|BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5653656
ErbB signaling pathway	KEGG PATHWAY	hsa04012	2	85	0.0421005107497	0.0717533935876	NRG1|BTC	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:685%09red/hsa:3084%09red
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	2	85	0.0421005107497	0.0717533935876	CCK|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	2	85	0.0421005107497	0.0717533935876	CCK|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	2	85	0.0421005107497	0.0717533935876	CCK|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
Free fatty acids regulate insulin secretion	Reactome	R-HSA-400451	1	11	0.0438799968518	0.0724684796492	CD36	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400451
Vitamin D (calciferol) metabolism	Reactome	R-HSA-196791	1	11	0.0438799968518	0.0724684796492	DBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196791
IRAK4 deficiency (TLR2/4)	Reactome	R-HSA-5603041	1	11	0.0438799968518	0.0724684796492	CD36	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603041
Interleukin-27 signaling	Reactome	R-HSA-9020956	1	11	0.0438799968518	0.0724684796492	IL6ST	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020956
FGFR1 ligand binding and activation	Reactome	R-HSA-190242	1	11	0.0438799968518	0.0724684796492	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190242
Synthesis of PIPs at the late endosome membrane	Reactome	R-HSA-1660517	1	11	0.0438799968518	0.0724684796492	CFD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660517
Phospholipase C-mediated cascade: FGFR1	Reactome	R-HSA-5654219	1	11	0.0438799968518	0.0724684796492	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654219
Peptide hormone metabolism	Reactome	R-HSA-2980736	2	89	0.045645128162	0.0752799293896	LEP|GH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980736
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410	2	90	0.0465479732905	0.0759059767721	ITGA2B|ITGAV	http://www.genome.jp/kegg-bin/show_pathway?hsa05410/hsa:3674%09red/hsa:3685%09red
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	3	212	0.0469633334914	0.0759059767721	TNFRSF1A|TNFRSF1B|FADD	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:8772%09red/hsa:7133%09red/hsa:7132%09red
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Reactome	R-HSA-9027276	1	12	0.0474491489497	0.0759059767721	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027276
FGFR4 ligand binding and activation	Reactome	R-HSA-190322	1	12	0.0474491489497	0.0759059767721	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190322
GRB2 events in EGFR signaling	Reactome	R-HSA-179812	1	12	0.0474491489497	0.0759059767721	BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179812
Downregulation of ERBB2:ERBB3 signaling	Reactome	R-HSA-1358803	1	12	0.0474491489497	0.0759059767721	NRG1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1358803
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Reactome	R-HSA-933543	1	12	0.0474491489497	0.0759059767721	FADD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933543
SHC-mediated cascade:FGFR3	Reactome	R-HSA-5654704	1	12	0.0474491489497	0.0759059767721	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654704
Pregnenolone biosynthesis	Reactome	R-HSA-196108	1	12	0.0474491489497	0.0759059767721	AR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196108
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	Reactome	R-HSA-975138	2	92	0.0483732635366	0.0772812031718	CCK|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975138
MyD88 dependent cascade initiated on endosome	Reactome	R-HSA-975155	2	93	0.0492955875343	0.0785976189543	CCK|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975155
Toll Like Receptor 7/8 (TLR7/8) Cascade	Reactome	R-HSA-168181	2	93	0.0492955875343	0.0785976189543	CCK|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168181
Class B/2 (Secretin family receptors)	Reactome	R-HSA-373080	2	94	0.0502242839609	0.0788080881081	PTHLH|PTH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373080
Erythropoietin activates RAS	Reactome	R-HSA-9027284	1	13	0.0510050678664	0.0788080881081	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027284
PI-3K cascade:FGFR3	Reactome	R-HSA-5654710	1	13	0.0510050678664	0.0788080881081	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654710
Advanced glycosylation endproduct receptor signaling	Reactome	R-HSA-879415	1	13	0.0510050678664	0.0788080881081	S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-879415
p75NTR recruits signalling complexes	Reactome	R-HSA-209543	1	13	0.0510050678664	0.0788080881081	CCK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-209543
Phospholipase C-mediated cascade; FGFR4	Reactome	R-HSA-5654228	1	13	0.0510050678664	0.0788080881081	FGF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654228
Scavenging of heme from plasma	Reactome	R-HSA-2168880	1	13	0.0510050678664	0.0788080881081	LRP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2168880
Signaling by Activin	Reactome	R-HSA-1502540	1	13	0.0510050678664	0.0788080881081	ACVR1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1502540
SHC1 events in EGFR signaling	Reactome	R-HSA-180336	1	13	0.0510050678664	0.0788080881081	BTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180336
Dissolution of Fibrin Clot	Reactome	R-HSA-75205	1	13	0.0510050678664	0.0788080881081	PLAT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75205
Regulation of KIT signaling	Reactome	R-HSA-1433559	1	13	0.0510050678664	0.0788080881081	LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433559
ESR-mediated signaling	Reactome	R-HSA-8939211	3	221	0.0518933745509	0.0800774209608	MMP3|BTC|MMP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939211
Dilated cardiomyopathy (DCM)	KEGG PATHWAY	hsa05414	2	96	0.0521005557559	0.0802937870839	ITGA2B|ITGAV	http://www.genome.jp/kegg-bin/show_pathway?hsa05414/hsa:3674%09red/hsa:3685%09red
Signaling by NTRKs	Reactome	R-HSA-166520	2	97	0.0530480128282	0.0815966226824	BDNF|NTRK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166520
