##Databases: KEGG PATHWAY, Reactome, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Sulfur amino acid metabolism	Reactome	R-HSA-1614635	1	28	0.106086150107	0.175755942482	SUOX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1614635
Keratan sulfate biosynthesis	Reactome	R-HSA-2022854	1	28	0.106086150107	0.175755942482	B4GALT3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022854
Diseases of glycosylation	Reactome	R-HSA-3781865	2	143	0.10820123169	0.177411211729	ADAMTS4|GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3781865
MAPK signaling pathway	KEGG PATHWAY	hsa04010	3	295	0.108779423748	0.177411211729	ERBB3|RASA2|FLG	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:5922%09red/hsa:2065%09red/hsa:2260%09red
Linoleic acid metabolism	KEGG PATHWAY	hsa00591	1	29	0.109537642606	0.177411211729	ALOX15	http://www.genome.jp/kegg-bin/show_pathway?hsa00591/hsa:246%09red
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	Reactome	R-HSA-9615017	1	29	0.109537642606	0.177411211729	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9615017
TNFs bind their physiological receptors	Reactome	R-HSA-5669034	1	29	0.109537642606	0.177411211729	TNFRSF14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5669034
Tight junction interactions	Reactome	R-HSA-420029	1	29	0.109537642606	0.177411211729	F11R	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-420029
VEGFR2 mediated vascular permeability	Reactome	R-HSA-5218920	1	29	0.109537642606	0.177411211729	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218920
FCERI mediated MAPK activation	Reactome	R-HSA-2871796	1	29	0.109537642606	0.177411211729	FCER1G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2871796
Citrate cycle (TCA cycle)	KEGG PATHWAY	hsa00020	1	30	0.112975895878	0.180060807694	ACO2	http://www.genome.jp/kegg-bin/show_pathway?hsa00020/hsa:50%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	hsa00630	1	30	0.112975895878	0.180060807694	ACO2	http://www.genome.jp/kegg-bin/show_pathway?hsa00630/hsa:50%09red
TNFR1-induced NFkappaB signaling pathway	Reactome	R-HSA-5357956	1	30	0.112975895878	0.180060807694	TNFAIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357956
FCERI mediated Ca+2 mobilization	Reactome	R-HSA-2871809	1	30	0.112975895878	0.180060807694	FCER1G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2871809
Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	hsa04261	2	149	0.11567730437	0.181854387938	PPP2R3C|PPP2R1B	http://www.genome.jp/kegg-bin/show_pathway?hsa04261/hsa:55012%09red/hsa:5519%09red
Estrogen-dependent gene expression	Reactome	R-HSA-9018519	2	149	0.11567730437	0.181854387938	ZNF217|USF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018519
RNA polymerase	KEGG PATHWAY	hsa03020	1	31	0.116400960373	0.181854387938	POLR3H	http://www.genome.jp/kegg-bin/show_pathway?hsa03020/hsa:171568%09red
Galactose metabolism	KEGG PATHWAY	hsa00052	1	31	0.116400960373	0.181854387938	GLB1	http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:2720%09red
RUNX2 regulates bone development	Reactome	R-HSA-8941326	1	31	0.116400960373	0.181854387938	HDAC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941326
Inwardly rectifying K+ channels	Reactome	R-HSA-1296065	1	31	0.116400960373	0.181854387938	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296065
MAPK targets/ Nuclear events mediated by MAP kinases	Reactome	R-HSA-450282	1	31	0.116400960373	0.181854387938	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450282
Thrombin signalling through proteinase activated receptors (PARs)	Reactome	R-HSA-456926	1	31	0.116400960373	0.181854387938	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-456926
Disassembly of the destruction complex and recruitment of AXIN to the membrane	Reactome	R-HSA-4641262	1	31	0.116400960373	0.181854387938	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641262
TGF-beta receptor signaling activates SMADs	Reactome	R-HSA-2173789	1	31	0.116400960373	0.181854387938	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173789
Signal amplification	Reactome	R-HSA-392518	1	31	0.116400960373	0.181854387938	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392518
Metabolism of RNA	Reactome	R-HSA-8953854	5	667	0.119452453684	0.18410709591	RPS26|PHF5A|WDR36|NHP2L1|KIAA0391	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
G-protein beta:gamma signalling	Reactome	R-HSA-397795	1	32	0.119812886346	0.18410709591	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-397795
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Reactome	R-HSA-2173796	1	32	0.119812886346	0.18410709591	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173796
Regulation of TNFR1 signaling	Reactome	R-HSA-5357905	1	32	0.119812886346	0.18410709591	TNFAIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357905
RAF activation	Reactome	R-HSA-5673000	1	32	0.119812886346	0.18410709591	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673000
Activation of kainate receptors upon glutamate binding	Reactome	R-HSA-451326	1	32	0.119812886346	0.18410709591	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-451326
Signaling by FGFR1 in disease	Reactome	R-HSA-5655302	1	32	0.119812886346	0.18410709591	FLG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655302
RHO GTPases activate IQGAPs	Reactome	R-HSA-5626467	1	32	0.119812886346	0.18410709591	IQGAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5626467
Oxytocin signaling pathway	KEGG PATHWAY	hsa04921	2	153	0.120732740027	0.185382011573	MYL6B|CAMK4	http://www.genome.jp/kegg-bin/show_pathway?hsa04921/hsa:814%09red/hsa:140465%09red
Hippo signaling pathway	KEGG PATHWAY	hsa04390	2	154	0.122005105847	0.186816596068	PPP2R1B|SMAD3	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:4088%09red/hsa:5519%09red
Fructose and mannose metabolism	KEGG PATHWAY	hsa00051	1	33	0.123211723866	0.186816596068	PMM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00051/hsa:5372%09red
Glucagon-type ligand receptors	Reactome	R-HSA-420092	1	33	0.123211723866	0.186816596068	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-420092
TAK1 activates NFkB by phosphorylation and activation of IKKs complex	Reactome	R-HSA-445989	1	33	0.123211723866	0.186816596068	NFKBIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445989
Resolution of D-loop Structures through Holliday Junction Intermediates	Reactome	R-HSA-5693568	1	33	0.123211723866	0.186816596068	RAD50	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693568
Sialic acid metabolism	Reactome	R-HSA-4085001	1	33	0.123211723866	0.186816596068	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4085001
Diseases of carbohydrate metabolism	Reactome	R-HSA-5663084	1	34	0.126597522808	0.190266452407	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663084
Signaling by WNT in cancer	Reactome	R-HSA-4791275	1	34	0.126597522808	0.190266452407	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4791275
RNA Polymerase III Transcription Initiation	Reactome	R-HSA-76046	1	35	0.129970332862	0.193496744652	POLR3H	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76046
GPVI-mediated activation cascade	Reactome	R-HSA-114604	1	35	0.129970332862	0.193496744652	FCER1G	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114604
Regulation of TP53 Degradation	Reactome	R-HSA-6804757	1	35	0.129970332862	0.193496744652	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804757
CaM pathway	Reactome	R-HSA-111997	1	36	0.133330203528	0.196225410489	CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111997
Calmodulin induced events	Reactome	R-HSA-111933	1	36	0.133330203528	0.196225410489	CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111933
Regulation of TP53 Expression and Degradation	Reactome	R-HSA-6806003	1	36	0.133330203528	0.196225410489	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806003
NOD1/2 Signaling Pathway	Reactome	R-HSA-168638	1	36	0.133330203528	0.196225410489	TNFAIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168638
PI3K Cascade	Reactome	R-HSA-109704	1	36	0.133330203528	0.196225410489	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109704
Signaling by high-kinase activity BRAF mutants	Reactome	R-HSA-6802948	1	36	0.133330203528	0.196225410489	IQGAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802948
Primary immunodeficiency	KEGG PATHWAY	hsa05340	1	37	0.136677184118	0.199438105427	IL7R	http://www.genome.jp/kegg-bin/show_pathway?hsa05340/hsa:3575%09red
HDR through Single Strand Annealing (SSA)	Reactome	R-HSA-5685938	1	37	0.136677184118	0.199438105427	RAD50	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685938
Defective B3GALTL causes Peters-plus syndrome (PpS)	Reactome	R-HSA-5083635	1	37	0.136677184118	0.199438105427	ADAMTS4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5083635
Mitochondrial Fatty Acid Beta-Oxidation	Reactome	R-HSA-77289	1	37	0.136677184118	0.199438105427	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77289
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	Reactome	R-HSA-8939243	1	37	0.136677184118	0.199438105427	SMARCE1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939243
Signaling by WNT	Reactome	R-HSA-195721	3	329	0.137503647854	0.200240952281	RUNX3|PPP2R1B|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	2	166	0.137519564504	0.200240952281	RTEL1|RAD50	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532
Ca-dependent events	Reactome	R-HSA-111996	1	38	0.14001132376	0.203006545593	CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111996
O-glycosylation of TSR domain-containing proteins	Reactome	R-HSA-5173214	1	38	0.14001132376	0.203006545593	ADAMTS4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5173214
Hepatocellular carcinoma	KEGG PATHWAY	hsa05225	2	168	0.140146503598	0.203059345594	SMARCE1|SMAD3	http://www.genome.jp/kegg-bin/show_pathway?hsa05225/hsa:6605%09red/hsa:4088%09red
Presynaptic phase of homologous DNA pairing and strand exchange	Reactome	R-HSA-5693616	1	39	0.143332671393	0.206222513914	RAD50	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693616
GABA B receptor activation	Reactome	R-HSA-977444	1	39	0.143332671393	0.206222513914	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977444
Activation of GABAB receptors	Reactome	R-HSA-991365	1	39	0.143332671393	0.206222513914	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-991365
Ferroptosis	KEGG PATHWAY	hsa04216	1	40	0.146641275772	0.208358301995	ALOX15	http://www.genome.jp/kegg-bin/show_pathway?hsa04216/hsa:246%09red
RNA Polymerase III Transcription	Reactome	R-HSA-74158	1	40	0.146641275772	0.208358301995	POLR3H	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74158
IRS-mediated signalling	Reactome	R-HSA-112399	1	40	0.146641275772	0.208358301995	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112399
MAP2K and MAPK activation	Reactome	R-HSA-5674135	1	40	0.146641275772	0.208358301995	IQGAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674135
RNA Polymerase III Abortive And Retractive Initiation	Reactome	R-HSA-749476	1	40	0.146641275772	0.208358301995	POLR3H	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-749476
Negative regulation of MAPK pathway	Reactome	R-HSA-5675221	1	40	0.146641275772	0.208358301995	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5675221
Signaling by SCF-KIT	Reactome	R-HSA-1433557	1	40	0.146641275772	0.208358301995	SH2B3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433557
Smooth Muscle Contraction	Reactome	R-HSA-445355	1	40	0.146641275772	0.208358301995	MYL6B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-445355
Beta defensins	Reactome	R-HSA-1461957	1	40	0.146641275772	0.208358301995	TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1461957
Homologous recombination	KEGG PATHWAY	hsa03440	1	41	0.149937185468	0.211870002283	RAD50	http://www.genome.jp/kegg-bin/show_pathway?hsa03440/hsa:10111%09red
Sphingolipid de novo biosynthesis	Reactome	R-HSA-1660661	1	41	0.149937185468	0.211870002283	ORMDL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660661
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	hsa00860	1	42	0.153220448867	0.214738406865	PPOX	http://www.genome.jp/kegg-bin/show_pathway?hsa00860/hsa:5498%09red
TNF signaling	Reactome	R-HSA-75893	1	42	0.153220448867	0.214738406865	TNFAIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75893
Homologous DNA Pairing and Strand Exchange	Reactome	R-HSA-5693579	1	42	0.153220448867	0.214738406865	RAD50	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693579
DAG and IP3 signaling	Reactome	R-HSA-1489509	1	42	0.153220448867	0.214738406865	CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1489509
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	Reactome	R-HSA-6814122	1	42	0.153220448867	0.214738406865	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6814122
G1 Phase	Reactome	R-HSA-69236	1	43	0.156491114173	0.21783732616	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69236
Cyclin D associated events in G1	Reactome	R-HSA-69231	1	43	0.156491114173	0.21783732616	PPP2R1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69231
Vasopressin regulates renal water homeostasis via Aquaporins	Reactome	R-HSA-432040	1	43	0.156491114173	0.21783732616	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432040
IGF1R signaling cascade	Reactome	R-HSA-2428924	1	44	0.159749229406	0.220580534357	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428924
IRS-related events triggered by IGF1R	Reactome	R-HSA-2428928	1	44	0.159749229406	0.220580534357	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2428928
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Reactome	R-HSA-2173793	1	44	0.159749229406	0.220580534357	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173793
TP53 Regulates Transcription of Cell Death Genes	Reactome	R-HSA-5633008	1	44	0.159749229406	0.220580534357	BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633008
mRNA Splicing - Major Pathway	Reactome	R-HSA-72163	2	183	0.16017394044	0.22101853795	PHF5A|NHP2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72163
Transport to the Golgi and subsequent modification	Reactome	R-HSA-948021	2	185	0.162883521364	0.22311411184	B4GALT3|ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-948021
ABC transporters	KEGG PATHWAY	hsa02010	1	45	0.162994842405	0.22311411184	ABCB9	http://www.genome.jp/kegg-bin/show_pathway?hsa02010/hsa:23457%09red
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	R-HSA-2404192	1	45	0.162994842405	0.22311411184	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2404192
Glycosphingolipid metabolism	Reactome	R-HSA-1660662	1	45	0.162994842405	0.22311411184	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660662
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	2	186	0.164241441791	0.224521545426	BCL6|CD86	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:604%09red/hsa:942%09red
Insulin receptor signalling cascade	Reactome	R-HSA-74751	1	46	0.166228000828	0.226784850499	THEM4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74751
Interleukin-10 signaling	Reactome	R-HSA-6783783	1	47	0.169448752153	0.229654999621	CD86	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
Signaling by moderate kinase activity BRAF mutants	Reactome	R-HSA-6802946	1	47	0.169448752153	0.229654999621	IQGAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802946
Paradoxical activation of RAF signaling by kinase inactive BRAF	Reactome	R-HSA-6802955	1	47	0.169448752153	0.229654999621	IQGAP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6802955
mRNA Splicing	Reactome	R-HSA-72172	2	191	0.171060916795	0.231687249625	PHF5A|NHP2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72172
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	hsa00520	1	48	0.172657143676	0.232470915127	PMM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00520/hsa:5372%09red
G alpha (z) signalling events	Reactome	R-HSA-418597	1	48	0.172657143676	0.232470915127	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418597
Chemokine receptors bind chemokines	Reactome	R-HSA-380108	1	48	0.172657143676	0.232470915127	CCR7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-380108
G2/M Transition	Reactome	R-HSA-69275	2	193	0.173801992852	0.233859225984	PPP2R1B|ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69275
Mitotic G2-G2/M phases	Reactome	R-HSA-453274	2	195	0.176550247226	0.236782327656	PPP2R1B|ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453274
Mitotic Prometaphase	Reactome	R-HSA-68877	2	196	0.177926981556	0.238473190404	PPP2R1B|ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68877
N-Glycan biosynthesis	KEGG PATHWAY	hsa00510	1	50	0.179037035616	0.238716047488	B4GALT3	http://www.genome.jp/kegg-bin/show_pathway?hsa00510/hsa:8703%09red
Defensins	Reactome	R-HSA-1461973	1	50	0.179037035616	0.238716047488	TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1461973
Neurotransmitter receptors and postsynaptic signal transmission	Reactome	R-HSA-112314	2	197	0.179305409257	0.238918938064	CAMK4|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112314
Amyotrophic lateral sclerosis (ALS)	KEGG PATHWAY	hsa05014	1	51	0.182208629734	0.241690930796	TOMM40L	http://www.genome.jp/kegg-bin/show_pathway?hsa05014/hsa:84134%09red
Formation of the ternary complex, and subsequently, the 43S complex	Reactome	R-HSA-72695	1	51	0.182208629734	0.241690930796	RPS26	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72695
Cargo trafficking to the periciliary membrane	Reactome	R-HSA-5620920	1	51	0.182208629734	0.241690930796	ARL3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620920
COPI-independent Golgi-to-ER retrograde traffic	Reactome	R-HSA-6811436	1	51	0.182208629734	0.241690930796	ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811436
mRNA Splicing - Minor Pathway	Reactome	R-HSA-72165	1	52	0.185368051458	0.245091134274	NHP2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72165
Regulation of RUNX3 expression and activity	Reactome	R-HSA-8941858	1	53	0.188515347195	0.248184586864	RUNX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941858
Synthesis of PIPs at the plasma membrane	Reactome	R-HSA-1660499	1	53	0.188515347195	0.248184586864	INPP5D	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660499
M Phase	Reactome	R-HSA-68886	3	384	0.188552687102	0.248184586864	SETD8|PPP2R1B|ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68886
PLC beta mediated events	Reactome	R-HSA-112043	1	54	0.191650563178	0.251296911922	CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112043
Legionellosis	KEGG PATHWAY	hsa05134	1	55	0.194773745466	0.253452418151	NFKBIA	http://www.genome.jp/kegg-bin/show_pathway?hsa05134/hsa:4792%09red
G-protein mediated events	Reactome	R-HSA-112040	1	55	0.194773745466	0.253452418151	CAMK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112040
HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	1	55	0.194773745466	0.253452418151	ACTR1A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371497
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	Reactome	R-HSA-168643	1	55	0.194773745466	0.253452418151	TNFAIP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168643
Signaling by PDGF	Reactome	R-HSA-186797	1	55	0.194773745466	0.253452418151	STAT6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186797
Heparan sulfate/heparin (HS-GAG) metabolism	Reactome	R-HSA-1638091	1	55	0.194773745466	0.253452418151	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1638091
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	2	210	0.197364242443	0.256042439598	RGS14|FLG	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:2260%09red/hsa:10636%09red
GABA receptor activation	Reactome	R-HSA-977443	1	56	0.197884939942	0.256042439598	GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-977443
Phospholipid metabolism	Reactome	R-HSA-1483257	2	212	0.200162950704	0.258664378785	INPP5D|PITPNM2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483257
Signaling by FGFR in disease	Reactome	R-HSA-1226099	1	57	0.200984192316	0.258749843082	FLG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1226099
E3 ubiquitin ligases ubiquitinate target proteins	Reactome	R-HSA-8866654	1	57	0.200984192316	0.258749843082	RTF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8866654
cAMP signaling pathway	KEGG PATHWAY	hsa04024	2	214	0.202966411064	0.26097494756	NFKBIA|CAMK4	http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:814%09red/hsa:4792%09red
Translation initiation complex formation	Reactome	R-HSA-72649	1	58	0.204071548124	0.261577994353	RPS26	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72649
Ribosomal scanning and start codon recognition	Reactome	R-HSA-72702	1	58	0.204071548124	0.261577994353	RPS26	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72702
Lysine degradation	KEGG PATHWAY	hsa00310	1	59	0.20714705273	0.263875056018	SETD8	http://www.genome.jp/kegg-bin/show_pathway?hsa00310/hsa:387893%09red
Arachidonic acid metabolism	Reactome	R-HSA-2142753	1	59	0.20714705273	0.263875056018	ALOX15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142753
@@Arachidonic acid metabolism	KEGG PATHWAY	hsa00590	1	63	0.219331460415	0.27413099247	ALOX15	http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:246%09red
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	1	59	0.20714705273	0.263875056018	HDAC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	Reactome	R-HSA-72662	1	59	0.20714705273	0.263875056018	RPS26	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72662
Ub-specific processing proteases	Reactome	R-HSA-5689880	2	219	0.209994304122	0.266128882221	NFKBIA|SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689880
Long-term depression	KEGG PATHWAY	hsa04730	1	60	0.210210751326	0.266128882221	PPP2R1B	http://www.genome.jp/kegg-bin/show_pathway?hsa04730/hsa:5519%09red
RNA Polymerase II Transcription Elongation	Reactome	R-HSA-75955	1	61	0.213262688934	0.268340323408	RTF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75955
Formation of RNA Pol II elongation complex 	Reactome	R-HSA-112382	1	61	0.213262688934	0.268340323408	RTF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112382
