Target.id	Gene.symbol	Chromosome	Gene.name	Protein.name	Ensembl.id	UniProt.id	P_value	FDR.BH.	FDR.Bonferroni.	Relationship	Value	herb
SMTT02494	PCSK9	1	Proprotein Convertase Subtilisin/kexin Type 9	Proprotein Convertase Subtilisin/kexin Type 9	ENSG00000169174	Q8NBP7	0.00359659	0.0317573	1	By_ingredient	0.3578	乌梅
SMTT02495	PCYT1A	3	Phosphate Cytidylyltransferase 1, Choline, Alpha	Choline-phosphate Cytidylyltransferase A	ENSG00000161217	P49585	0.00204113	0.0118393	1	By_ingredient	0.1547	乌梅
SMTT02517	PDSS1	10	Decaprenyl Diphosphate Synthase Subunit 1	None	ENSG00000148459	None	0.0365025	0.0781968	1	By_ingredient	0.1975	乌梅
SMTT02518	PDSS2	6	Decaprenyl Diphosphate Synthase Subunit 2	None	ENSG00000164494	None	0.03137	0.0732233	1	By_ingredient	0.2094	乌梅
SMTT02519	PDX1	13	Pancreatic And Duodenal Homeobox 1	None	ENSG00000139515	None	0.0466867	0.0880778	1	By_ingredient	0.1436	乌梅
SMTT02522	PEPD	19	Peptidase D	None	ENSG00000124299	None	0.0262104	0.0680322	1	By_ingredient	0.2092	乌梅
SMTT02539	PFKFB4	None	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	ENSG00000114268	Q16877	0.041608	0.0831951	1	By_ingredient	0.1899	乌梅
SMTT02540	PFKM	12	Phosphofructokinase, Muscle	None	ENSG00000152556	None	0.0262104	0.0680322	1	By_ingredient	0.1837	乌梅
SMTT02546	PGD	None	phosphogluconate dehydrogenase	6-phosphogluconate Dehydrogenase, Decarboxylating	ENSG00000142657	P52209	4.20717e-06	0.000295172	1	By_ingredient	0.7617	乌梅
SMTT02550	PGR	11	Progesterone Receptor	Progesterone Receptor	ENSG00000082175	P06401	8.87171e-05	0.00134143	1	By_ingredient	1.7774	乌梅
SMTT02552	PHEX	X	Phosphate Regulating Endopeptidase Homolog X-linked	None	ENSG00000102174	None	0.0052975	0.0372111	1	By_ingredient	0.1993	乌梅
SMTT02584	PIM1	None	Pim-1 proto-oncogene, serine/threonine kinase	Serine/threonine-protein Kinase Pim-1	ENSG00000137193	P11309	0.00278357	0.0281643	1	By_ingredient	3.2399	乌梅
SMTT02585	PINK1	1	PTEN Induced Putative Kinase 1	None	ENSG00000158828	None	0.041608	0.0831951	1	By_ingredient	0.2495	乌梅
SMTT02592	PKD2	4	Polycystin 2, Transient Receptor Potential Cation Channel	None	ENSG00000118762	None	0.0105671	0.0485443	1	By_ingredient	0.2196	乌梅
SMTT02594	PKLR	1	Pyruvate Kinase L/R	Pyruvate Kinase PKLR	ENSG00000143627	P30613	0.0049727	0.0360389	1	By_ingredient	0.3786	乌梅
SMTT02603	PLAT	8	Plasminogen Activator, Tissue Type	Tissue-type Plasminogen Activator	ENSG00000104368	P00750	0.028209	0.0489285	1	By_ingredient	0.2771	乌梅
SMTT02604	PLAU	10	Plasminogen Activator, Urokinase	Urokinase-type Plasminogen Activator	ENSG00000122861	P00749	2.02998e-06	0.00016453	0.839434	By_ingredient	0.9801	乌梅
SMTT02626	PML	None	promyelocytic leukemia	Protein PML	ENSG00000140464	P29590	0.0466867	0.0880778	1	By_ingredient	0.1769	乌梅
SMTT02627	PMM2	16	Phosphomannomutase 2	None	ENSG00000140650	None	0.03137	0.0732233	1	By_ingredient	0.1797	乌梅
SMTT02631	PMS2	7	PMS1 Homolog 2, Mismatch Repair System Component	Mismatch Repair Endonuclease PMS2	ENSG00000122512	P54278	0.0365025	0.0781968	1	By_ingredient	0.2354	乌梅
SMTT02633	PNKD	2	Paroxysmal Nonkinesigenic Dyskinesia	None	ENSG00000127838	None	0.0210234	0.0627405	1	By_ingredient	0.2168	乌梅
SMTT02634	PNKP	19	Polynucleotide Kinase 3'-phosphatase	None	ENSG00000039650	None	0.0466867	0.0880778	1	By_ingredient	0.2097	乌梅
SMTT02642	PNPT1	2	Polyribonucleotide Nucleotidyltransferase 1	None	ENSG00000138035	None	0.0158091	0.0563531	1	By_ingredient	0.1941	乌梅
SMTT02651	POLD1	19	DNA Polymerase Delta 1, Catalytic Subunit	None	ENSG00000062822	None	3.09037e-05	0.00138373	1	By_ingredient	0.6002	乌梅
SMTT02668	PON1	7	Paraoxonase 1	Serum Paraoxonase/arylesterase 1	ENSG00000005421	P27169	0.000144923	0.00188997	1	By_ingredient	0.5588	乌梅
SMTT02671	POR	7	Cytochrome P450 Oxidoreductase	NADPH--cytochrome P450 Reductase	ENSG00000127948	P16435	0.00124595	0.017826	1	By_ingredient	0.6991	乌梅
SMTT02679	PPARA	None	peroxisome proliferator activated receptor alpha	Peroxisome Proliferator-activated Receptor Alpha	ENSG00000186951	Q07869	0.000292098	0.00693068	1	By_ingredient	0.7363	乌梅
SMTT02680	PPARD	None	peroxisome proliferator activated receptor delta	Peroxisome Proliferator-activated Receptor Delta	ENSG00000112033	Q03181	0.0040782	0.0171018	1	By_ingredient	0.2758	乌梅
SMTT02681	PPARG	3	Peroxisome Proliferator Activated Receptor Gamma	Peroxisome Proliferator-activated Receptor Gamma	ENSG00000132170	P37231	0.000344608	0.00773878	1	By_ingredient	3.0688	乌梅
SMTT02682	PPARGC1A	4	PPARG Coactivator 1 Alpha	None	ENSG00000109819	None	0.0172916	0.0581309	1	By_ingredient	0.3858	乌梅
SMTT02683	PPBP	None	pro-platelet basic protein	Platelet Basic Protein	ENSG00000163736	P02775	0.00771704	0.0434021	1	By_ingredient	0.3545	乌梅
SMTT02688	PPOX	1	Protoporphyrinogen Oxidase	None	ENSG00000143224	None	0.0105671	0.0485443	1	By_ingredient	0.1618	乌梅
SMTT02696	PPP3CA	None	protein phosphatase 3 catalytic subunit alpha	Serine/threonine-protein Phosphatase 2B Catalytic Subunit Alpha Isoform	ENSG00000138814	Q08209	1.2171e-05	0.000323989	1	By_ingredient	0.5223	乌梅
SMTT02697	PPP5C	None	protein phosphatase 5 catalytic subunit	Serine/threonine-protein Phosphatase 5	ENSG00000011485	P53041	0.041608	0.0831951	1	By_ingredient	0.1891	乌梅
SMTT02717	PRKCA	None	protein kinase C alpha	Protein Kinase C Alpha Type	ENSG00000154229	P17252	0.000771798	0.0134047	1	By_ingredient	0.4208	乌梅
SMTT02718	PRKCB	None	protein kinase C beta	Protein Kinase C Beta Type	ENSG00000166501	P05771	0.0247688	0.0667245	1	By_ingredient	0.385	乌梅
SMTT02721	PRKCG	19	Protein Kinase C Gamma	Protein Kinase C Gamma Type	ENSG00000126583	P05129	0.00611121	0.0208847	1	By_ingredient	0.1687	乌梅
SMTT02731	PRODH	22	Proline Dehydrogenase 1	Proline Dehydrogenase 1, Mitochondrial	ENSG00000100033	O43272	0.000574983	0.0109802	1	By_ingredient	0.4352	乌梅
SMTT02747	PRSS1	7	Serine Protease 1	Trypsin-1	ENSG00000204983	P07477	3.66259e-07	4.03342e-05	0.151455	By_ingredient	6.8187	乌梅
SMTT02769	PTEN	10	Phosphatase And Tensin Homolog	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase And Dual-specificity Protein Phosphatase PTEN	ENSG00000171862	P60484	3.09037e-05	0.00138373	1	By_ingredient	0.584	乌梅
SMTT02772	PTGER3	None	prostaglandin E receptor 3	Prostaglandin E2 Receptor EP3 Subtype	ENSG00000050628	P43115	1.19264e-05	0.000666188	1	By_ingredient	0.7649	乌梅
SMTT02776	PTGS1	None	prostaglandin-endoperoxide synthase 1	Prostaglandin G/H Synthase 1	ENSG00000095303	P23219	2.23487e-07	1.54943e-05	0.0197087	By_ingredient	4.9109	乌梅
SMTT02777	PTGS2	None	prostaglandin-endoperoxide synthase 2	Prostaglandin G/H Synthase 2	ENSG00000073756	P35354	3.2302e-08	3.29259e-06	0.00285467	By_ingredient	6.5028	乌梅
SMTT02783	PTPN1	None	protein tyrosine phosphatase, non-receptor type 1	Tyrosine-protein Phosphatase Non-receptor Type 1	ENSG00000196396	P18031	0.00611121	0.0208847	1	By_ingredient	0.1468	乌梅
SMTT02801	PYCR1	17	Pyrroline-5-carboxylate Reductase 1	Pyrroline-5-carboxylate Reductase 1, Mitochondrial	ENSG00000183010	P32322	0.0365025	0.0781968	1	By_ingredient	0.1914	乌梅
SMTT02802	PYCR2	1	Pyrroline-5-carboxylate Reductase 2	Pyrroline-5-carboxylate Reductase 2	ENSG00000143811	Q96C36	0.03137	0.0732233	1	By_ingredient	0.19	乌梅
SMTT02820	RAD51	15	RAD51 Recombinase	DNA Repair Protein RAD51 Homolog 1	ENSG00000285396|ENSG00000051180	Q06609	3.09014e-05	0.00138373	1	By_ingredient	0.6224	乌梅
SMTT02821	RAD51C	17	RAD51 Paralog C	None	ENSG00000108384	None	0.00097885	0.0154023	1	By_ingredient	0.3942	乌梅
SMTT02824	RAF1	3	Raf-1 Proto-oncogene, Serine/threonine Kinase	RAF Proto-oncogene Serine/threonine-protein Kinase	ENSG00000132155	P04049	0.00318448	0.0302883	1	By_ingredient	0.4628	乌梅
SMTT02836	RASA1	5	RAS P21 Protein Activator 1	None	ENSG00000145715	None	0.00204113	0.0118393	1	By_ingredient	0.1475	乌梅
SMTT02839	RASSF1	3	Ras Association Domain Family Member 1	None	ENSG00000068028	None	0.00204113	0.0118393	1	By_ingredient	0.1507	乌梅
SMTT02842	RB1	13	RB Transcriptional Corepressor 1	Retinoblastoma-associated Protein	ENSG00000139687	P06400	0.00896679	0.0442679	1	By_ingredient	0.3075	乌梅
SMTT02856	RDH11	14	Retinol Dehydrogenase 11	Retinol Dehydrogenase 11	ENSG00000072042	Q8TC12	0.00403216	0.0330514	1	By_ingredient	0.3533	乌梅
SMTT02864	REG1A	None	regenerating family member 1 alpha	Lithostathine-1-alpha	ENSG00000115386	P05451	0.0365025	0.0781968	1	By_ingredient	0.194	乌梅
SMTT02865	RELA	None	RELA proto-oncogene, NF-kB subunit	Transcription Factor P65	ENSG00000173039	Q04206	1.27736e-06	0.000111862	0.301376	By_ingredient	1.2368	乌梅
SMTT02867	REN	1	Renin	Renin	ENSG00000143839	P00797	0.0083313	0.0442766	1	By_ingredient	0.3688	乌梅
SMTT02882	RGS9	17	Regulator Of G Protein Signaling 9	None	ENSG00000108370	None	0.0210234	0.0627405	1	By_ingredient	0.2114	乌梅
SMTT02886	RHO	3	Rhodopsin	Rhodopsin	ENSG00000163914	P08100	0.0268102	0.0687776	1	By_ingredient	0.2895	乌梅
SMTT02898	RNASE3	None	ribonuclease A family member 3	Eosinophil Cationic Protein	ENSG00000169397	P12724	0.0158091	0.0563531	1	By_ingredient	0.1965	乌梅
SMTT02899	RNASEH1	2	Ribonuclease H1	None	ENSG00000171865	None	0.041608	0.0831951	1	By_ingredient	0.1911	乌梅
SMTT02929	RPIA	2	Ribose 5-phosphate Isomerase A	Ribose-5-phosphate Isomerase	ENSG00000153574	P49247	0.0158091	0.0563531	1	By_ingredient	0.1941	乌梅
SMTT02930	RPL10	X	Ribosomal Protein L10	60S Ribosomal Protein L10	ENSG00000147403	P27635	0.0365025	0.0781968	1	By_ingredient	0.2384	乌梅
SMTT02931	RPL11	1	Ribosomal Protein L11	60S Ribosomal Protein L11	ENSG00000142676	P62913	0.0158091	0.0563531	1	By_ingredient	0.2345	乌梅
SMTT02932	RPL15	3	Ribosomal Protein L15	60S Ribosomal Protein L15	ENSG00000174748	P61313	0.0262104	0.0680322	1	By_ingredient	0.2276	乌梅
SMTT02933	RPL21	13	Ribosomal Protein L21	None	ENSG00000122026	None	0.0158091	0.0563531	1	By_ingredient	0.2358	乌梅
SMTT02934	RPL26	17	Ribosomal Protein L26	None	ENSG00000161970	None	0.0158091	0.0563531	1	By_ingredient	0.233	乌梅
SMTT02936	RPL5	1	Ribosomal Protein L5	None	ENSG00000122406	None	0.03137	0.0732233	1	By_ingredient	0.2231	乌梅
SMTT02952	RRM2B	8	Ribonucleotide Reductase Regulatory TP53 Inducible Subunit M2B	Ribonucleoside-diphosphate Reductase Subunit M2 B	ENSG00000048392	Q7LG56	0.00177595	0.0223639	1	By_ingredient	0.3789	乌梅
SMTT02958	RSPO1	1	R-spondin 1	None	ENSG00000169218	None	0.000412134	0.00880668	1	By_ingredient	0.4181	乌梅
SMTT02959	RSPO4	20	R-spondin 4	None	ENSG00000101282	None	0.000412134	0.00880668	1	By_ingredient	0.4124	乌梅
SMTT02961	RTEL1	20	Regulator Of Telomere Elongation Helicase 1	None	ENSG00000258366	None	0.0105671	0.0485443	1	By_ingredient	0.2147	乌梅
SMTT02963	RTN4IP1	6	Reticulon 4 Interacting Protein 1	None	ENSG00000130347	None	0.0158091	0.0563531	1	By_ingredient	0.198	乌梅
SMTT02967	RUNX2	6	Runt Related Transcription Factor 2	None	ENSG00000124813	None	0.0040782	0.0171018	1	By_ingredient	0.1557	乌梅
SMTT02969	RXRA	None	retinoid X receptor alpha	Retinoic Acid Receptor RXR-alpha	ENSG00000186350	P19793	0.0438901	0.0854083	1	By_ingredient	1.5254	乌梅
SMTT02987	SAT1	X	Spermidine/spermine N1-acetyltransferase 1	Diamine Acetyltransferase 1	ENSG00000130066	P21673	0.0027961	0.0282141	1	By_ingredient	0.3642	乌梅
SMTT02997	SCN11A	3	Sodium Voltage-gated Channel Alpha Subunit 11	Sodium Channel Protein Type 11 Subunit Alpha	ENSG00000168356	Q9UI33	0.0105671	0.0485443	1	By_ingredient	0.2028	乌梅
SMTT03005	SCN5A	3	Sodium Voltage-gated Channel Alpha Subunit 5	Sodium Channel Protein Type 5 Subunit Alpha	ENSG00000183873	Q14524	0.0678593	0.0914656	1	By_ingredient	1.3011	乌梅
SMTT03006	SCN8A	12	Sodium Voltage-gated Channel Alpha Subunit 8	Sodium Channel Protein Type 8 Subunit Alpha	ENSG00000196876	Q9UQD0	0.0105671	0.0485443	1	By_ingredient	0.2222	乌梅
SMTT03007	SCN9A	2	Sodium Voltage-gated Channel Alpha Subunit 9	Sodium Channel Protein Type 9 Subunit Alpha	ENSG00000169432	Q15858	0.0210234	0.0627405	1	By_ingredient	0.1956	乌梅
SMTT03016	SDHA	5	Succinate Dehydrogenase Complex Flavoprotein Subunit A	Succinate Dehydrogenase [ubiquinone] Flavoprotein Subunit, Mitochondrial	ENSG00000073578	P31040	0.00547715	0.0378448	1	By_ingredient	0.3449	乌梅
SMTT03019	SDHB	1	Succinate Dehydrogenase Complex Iron Sulfur Subunit B	Succinate Dehydrogenase [ubiquinone] Iron-sulfur Subunit, Mitochondrial	ENSG00000117118	P21912	0.041608	0.0831951	1	By_ingredient	0.1838	乌梅
SMTT03020	SDHC	1	Succinate Dehydrogenase Complex Subunit C	Succinate Dehydrogenase Cytochrome B560 Subunit, Mitochondrial	ENSG00000143252	Q99643	0.0365025	0.0781968	1	By_ingredient	0.1877	乌梅
SMTT03028	SELE	None	selectin E	E-selectin	ENSG00000007908	P16581	6.96251e-07	6.74892e-05	0.287913	By_ingredient	0.7762	乌梅
SMTT03032	SEMA3A	7	Semaphorin 3A	None	ENSG00000075213	None	0.03137	0.0732233	1	By_ingredient	0.1716	乌梅
SMTT03033	SEMA3C	7	Semaphorin 3C	None	ENSG00000075223	None	0.0365025	0.0781968	1	By_ingredient	0.1922	乌梅
SMTT03034	SEMA3D	7	Semaphorin 3D	None	ENSG00000153993	None	0.0210234	0.0627405	1	By_ingredient	0.2194	乌梅
SMTT03035	SEMA3E	7	Semaphorin 3E	None	ENSG00000170381	None	0.0210234	0.0627405	1	By_ingredient	0.1758	乌梅
SMTT03036	SEMA4A	1	Semaphorin 4A	None	ENSG00000196189	None	0.0210234	0.0627405	1	By_ingredient	0.218	乌梅
SMTT03037	SEMA5A	5	Semaphorin 5A	None	ENSG00000112902	None	0.0210234	0.0627405	1	By_ingredient	0.1836	乌梅
SMTT03042	SERPINA1	14	Serpin Family A Member 1	Alpha-1-antitrypsin	ENSG00000197249	P01009	0.00243171	0.0261241	1	By_ingredient	0.3634	乌梅
SMTT03048	SERPINE1	7	Serpin Family E Member 1	Plasminogen Activator Inhibitor 1	ENSG00000106366	P05121	0.0032844	0.0308659	1	By_ingredient	0.4832	乌梅
SMTT03061	SFTPA2	10	Surfactant Protein A2	None	ENSG00000185303	None	0.0365025	0.0781968	1	By_ingredient	0.2027	乌梅
SMTT03075	SH2D1A	X	SH2 Domain Containing 1A	None	ENSG00000183918	None	0.0052975	0.0372111	1	By_ingredient	0.2029	乌梅
SMTT03087	SIK1	21	Salt Inducible Kinase 1	Serine/threonine-protein Kinase SIK1	ENSG00000142178	P57059	0.03137	0.0732233	1	By_ingredient	0.2133	乌梅
SMTT03102	SLC12A1	15	Solute Carrier Family 12 Member 1	Solute Carrier Family 12 Member 1	ENSG00000074803	Q13621	0.0262104	0.0680322	1	By_ingredient	0.2374	乌梅
SMTT03104	SLC12A3	16	Solute Carrier Family 12 Member 3	Solute Carrier Family 12 Member 3	ENSG00000070915	P55017	0.0105671	0.0485443	1	By_ingredient	0.244	乌梅
SMTT03105	SLC12A5	20	Solute Carrier Family 12 Member 5	Solute Carrier Family 12 Member 5	ENSG00000124140	Q9H2X9	0.0262104	0.0680322	1	By_ingredient	0.2281	乌梅
SMTT03106	SLC12A6	15	Solute Carrier Family 12 Member 6	Solute Carrier Family 12 Member 6	ENSG00000140199	Q9UHW9	0.03137	0.0732233	1	By_ingredient	0.1956	乌梅
SMTT03107	SLC13A5	17	Solute Carrier Family 13 Member 5	None	ENSG00000141485	None	0.0105671	0.0485443	1	By_ingredient	0.2278	乌梅
SMTT03108	SLC16A1	1	Solute Carrier Family 16 Member 1	Monocarboxylate Transporter 1	ENSG00000155380	P53985	0.0466867	0.0880778	1	By_ingredient	0.213	乌梅
SMTT03111	SLC16A7	None	solute carrier family 16 member 7	Monocarboxylate Transporter 2	ENSG00000118596	O60669	0.03137	0.0732233	1	By_ingredient	0.2148	乌梅
SMTT03125	SLC22A12	11	Solute Carrier Family 22 Member 12	Solute Carrier Family 22 Member 12	ENSG00000197891	Q96S37	0.041608	0.0831951	1	By_ingredient	0.2275	乌梅
SMTT03127	SLC22A5	5	Solute Carrier Family 22 Member 5	Solute Carrier Family 22 Member 5	ENSG00000197375	O76082	0.00204113	0.0118393	1	By_ingredient	0.1353	乌梅
SMTT03132	SLC25A1	22	Solute Carrier Family 25 Member 1	None	ENSG00000100075	None	0.0262104	0.0680322	1	By_ingredient	0.1918	乌梅
SMTT03133	SLC25A12	2	Solute Carrier Family 25 Member 12	Calcium-binding Mitochondrial Carrier Protein Aralar1	ENSG00000115840	O75746	0.03137	0.0732233	1	By_ingredient	0.2002	乌梅
SMTT03134	SLC25A13	7	Solute Carrier Family 25 Member 13	Calcium-binding Mitochondrial Carrier Protein Aralar2	ENSG00000004864	Q9UJS0	0.0365025	0.0781968	1	By_ingredient	0.2011	乌梅
SMTT03135	SLC25A15	13	Solute Carrier Family 25 Member 15	Mitochondrial Ornithine Transporter 1	ENSG00000102743	Q9Y619	0.0158091	0.0563531	1	By_ingredient	0.1863	乌梅
SMTT03193	SLC6A2	16	Solute Carrier Family 6 Member 2	Sodium-dependent Noradrenaline Transporter	ENSG00000103546	P23975	0.000893079	0.0127743	1	By_ingredient	1.9126	乌梅
SMTT03195	SLC6A3	5	Solute Carrier Family 6 Member 3	Sodium-dependent Dopamine Transporter	ENSG00000142319	Q01959	0.35804	0.38938	1	By_ingredient	1.0573	乌梅
SMTT03196	SLC6A4	None	solute carrier family 6 member 4	Sodium-dependent Serotonin Transporter	ENSG00000108576	P31645	0.226331	0.254619	1	By_ingredient	0.6706	乌梅
SMTT03200	SLC7A14	3	Solute Carrier Family 7 Member 14	None	ENSG00000013293	None	0.0105671	0.0485443	1	By_ingredient	0.2504	乌梅
SMTT03201	SLC7A7	14	Solute Carrier Family 7 Member 7	Y+L Amino Acid Transporter 1	ENSG00000155465	Q9UM01	0.0158091	0.0563531	1	By_ingredient	0.2448	乌梅
SMTT03203	SLC7A9	19	Solute Carrier Family 7 Member 9	B(0,+)-type Amino Acid Transporter 1	ENSG00000021488	P82251	0.03137	0.0732233	1	By_ingredient	0.2503	乌梅
SMTT03208	SLCO1B1	12	Solute Carrier Organic Anion Transporter Family Member 1B1	Solute Carrier Organic Anion Transporter Family Member 1B1	ENSG00000134538	Q9Y6L6	0.0466867	0.0880778	1	By_ingredient	0.1876	乌梅
SMTT03226	SMC1A	X	Structural Maintenance Of Chromosomes 1A	None	ENSG00000072501	None	0.0210234	0.0627405	1	By_ingredient	0.2026	乌梅
SMTT03247	SNRPB	20	Small Nuclear Ribonucleoprotein Polypeptides B And B1	None	ENSG00000125835	None	0.0365025	0.0781968	1	By_ingredient	0.1952	乌梅
SMTT03253	SOAT1	None	sterol O-acyltransferase 1	Sterol O-acyltransferase 1	ENSG00000057252	P35610	0.000275715	0.00666082	1	By_ingredient	0.3344	乌梅
SMTT03254	SOAT2	None	sterol O-acyltransferase 2	Sterol O-acyltransferase 2	ENSG00000167780	O75908	0.0210234	0.0627405	1	By_ingredient	0.2227	乌梅
SMTT03256	SOD1	21	Superoxide Dismutase 1	Superoxide Dismutase [Cu-Zn]	ENSG00000142168	P00441	4.97163e-05	0.00198136	1	By_ingredient	0.7536	乌梅
SMTT03257	SOD2	None	superoxide dismutase 2	Superoxide Dismutase [Mn], Mitochondrial	ENSG00000112096	P04179	0.0181638	0.0589026	1	By_ingredient	0.302	乌梅
SMTT03280	SPEG	2	SPEG Complex Locus	None	ENSG00000072195	None	0.0262104	0.0680322	1	By_ingredient	0.212	乌梅
SMTT03288	SPR	2	Sepiapterin Reductase	Sepiapterin Reductase	ENSG00000116096	P35270	0.0262104	0.0680322	1	By_ingredient	0.1839	乌梅
SMTT03300	SRC	20	SRC Proto-oncogene, Non-receptor Tyrosine Kinase	Proto-oncogene Tyrosine-protein Kinase Src	ENSG00000197122	P12931	0.002302	0.0254718	1	By_ingredient	0.6514	乌梅
SMTT03304	SREBF1	None	sterol regulatory element binding transcription factor 1	Sterol Regulatory Element-binding Protein 1	ENSG00000072310	P36956	0.0181638	0.0589026	1	By_ingredient	0.3048	乌梅
SMTT03317	STAT1	2	Signal Transducer And Activator Of Transcription 1	None	ENSG00000115415	None	2.12274e-05	0.00104911	1	By_ingredient	0.6263	乌梅
SMTT03319	STAT3	17	Signal Transducer And Activator Of Transcription 3	Signal Transducer And Activator Of Transcription 3	ENSG00000168610	P40763	0.030194	0.0511155	1	By_ingredient	0.2502	乌梅
SMTT03320	STAT4	2	Signal Transducer And Activator Of Transcription 4	None	ENSG00000138378	None	0.0210234	0.0627405	1	By_ingredient	0.1733	乌梅
SMTT03321	STAT5B	17	Signal Transducer And Activator Of Transcription 5B	Signal Transducer And Activator Of Transcription 5B	ENSG00000173757	P51692	0.0466867	0.0880778	1	By_ingredient	0.1884	乌梅
SMTT03322	STEAP3	2	STEAP3 Metalloreductase	None	ENSG00000115107	None	0.0210234	0.0627405	1	By_ingredient	0.1825	乌梅
SMTT03330	STRADA	17	STE20-related Kinase Adaptor Alpha	None	ENSG00000266173	None	0.0105671	0.0485443	1	By_ingredient	0.2086	乌梅
SMTT03347	SULT1E1	None	sulfotransferase family 1E member 1	Estrogen Sulfotransferase	ENSG00000109193	P49888	0.00097885	0.0154023	1	By_ingredient	0.2938	乌梅
SMTT03361	SYP	X	Synaptophysin	None	ENSG00000102003	None	0.0262104	0.0680322	1	By_ingredient	0.1511	乌梅
SMTT03377	TALDO1	11	Transaldolase 1	None	ENSG00000177156	None	0.0158091	0.0563531	1	By_ingredient	0.2007	乌梅
SMTT03413	TCF4	18	Transcription Factor 4	None	ENSG00000196628	None	0.0105671	0.0485443	1	By_ingredient	0.1494	乌梅
SMTT03447	TGFB1	19	Transforming Growth Factor Beta 1	Transforming Growth Factor Beta-1	ENSG00000105329	P01137	4.65989e-05	0.00189158	1	By_ingredient	0.7121	乌梅
SMTT03448	TGFB2	1	Transforming Growth Factor Beta 2	None	ENSG00000092969	None	0.00121932	0.0175626	1	By_ingredient	0.3681	乌梅
SMTT03449	TGFB3	14	Transforming Growth Factor Beta 3	Transforming Growth Factor Beta-3	ENSG00000119699	P10600	0.041608	0.0831951	1	By_ingredient	0.1958	乌梅
SMTT03461	THBD	20	Thrombomodulin	Thrombomodulin	ENSG00000178726	P07204	0.0040782	0.0171018	1	By_ingredient	0.1546	乌梅
SMTT03475	TLR4	9	Toll Like Receptor 4	Toll-like Receptor 4	ENSG00000136869	O00206	0.00251539	0.0265904	1	By_ingredient	0.5057	乌梅
SMTT03502	TNF	None	tumor necrosis factor	Tumor Necrosis Factor	ENSG00000232810	P01375	0.000113389	0.00160008	1	By_ingredient	0.8851	乌梅
SMTT03526	TOP1	None	DNA topoisomerase I	DNA Topoisomerase 1	ENSG00000198900	P11387	0.0162157	0.0346572	1	By_ingredient	0.1314	乌梅
SMTT03527	TOP2A	17	DNA Topoisomerase II Alpha	DNA Topoisomerase 2-alpha	ENSG00000131747	P11388	0.00611121	0.0208847	1	By_ingredient	0.1407	乌梅
SMTT03530	TP53	17	Tumor Protein P53	Cellular Tumor Antigen P53	ENSG00000141510	P04637	0.00467751	0.018452	1	By_ingredient	0.562	乌梅
SMTT03531	TP63	3	Tumor Protein P63	None	ENSG00000073282	None	0.0466867	0.0880778	1	By_ingredient	0.1814	乌梅
SMTT03532	TPI1	12	Triosephosphate Isomerase 1	Triosephosphate Isomerase	ENSG00000111669	P60174	0.000650909	0.0119591	1	By_ingredient	0.6829	乌梅
SMTT03539	TPP2	13	Tripeptidyl Peptidase 2	None	ENSG00000134900	None	0.00403216	0.0330514	1	By_ingredient	0.3803	乌梅
SMTT03549	TREH	11	Trehalase	None	ENSG00000118094	None	0.0262104	0.0680322	1	By_ingredient	0.1736	乌梅
SMTT03579	TRNT1	3	tRNA Nucleotidyl Transferase 1	None	ENSG00000072756	None	0.0210234	0.0627405	1	By_ingredient	0.2175	乌梅
SMTT03582	TRPA1	8	Transient Receptor Potential Cation Channel Subfamily A Member 1	Transient Receptor Potential Cation Channel Subfamily A Member 1	ENSG00000104321	O75762	0.0247688	0.0667245	1	By_ingredient	0.3549	乌梅
SMTT03583	TRPC3	4	Transient Receptor Potential Cation Channel Subfamily C Member 3	None	ENSG00000138741	None	0.00204113	0.0118393	1	By_ingredient	0.1724	乌梅
SMTT03588	TRPM8	None	transient receptor potential cation channel subfamily M member 8	Transient Receptor Potential Cation Channel Subfamily M Member 8	ENSG00000144481	Q7Z2W7	0.0365025	0.0781968	1	By_ingredient	0.401	乌梅
SMTT03590	TRPV1	None	transient receptor potential cation channel subfamily V member 1	Transient Receptor Potential Cation Channel Subfamily V Member 1	ENSG00000196689	Q8NER1	0.000480488	0.00973356	1	By_ingredient	0.5258	乌梅
SMTT03591	TRPV3	17	Transient Receptor Potential Cation Channel Subfamily V Member 3	Transient Receptor Potential Cation Channel Subfamily V Member 3	ENSG00000167723	Q8NET8	0.00204113	0.0118393	1	By_ingredient	0.398	乌梅
SMTT03619	TTN	2	Titin	None	ENSG00000155657	None	0.0210234	0.0627405	1	By_ingredient	0.1786	乌梅
SMTT03642	TXN2	22	Thioredoxin 2	None	ENSG00000100348	None	0.00209157	0.0241243	1	By_ingredient	0.395	乌梅
SMTT03644	TXNRD1	None	thioredoxin reductase 1	Thioredoxin Reductase 1, Cytoplasmic	ENSG00000198431	Q16881	0.00224259	0.0251544	1	By_ingredient	0.5631	乌梅
SMTT03651	UBA1	X	Ubiquitin Like Modifier Activating Enzyme 1	Ubiquitin-like Modifier-activating Enzyme 1	ENSG00000130985	P22314	0.03137	0.0732233	1	By_ingredient	0.1585	乌梅
SMTT03665	UGT1A1	2	UDP Glucuronosyltransferase Family 1 Member A1	None	ENSG00000241635	None	0.0139899	0.053446	1	By_ingredient	0.3494	乌梅
